timestamp,voltage_V,current_A,power_kW,SOC_percent,backup_time_h
2025-12-26 11:41:22,52.410,-0.272,-0.014,19.00,0.190
2025-12-26 11:41:23,52.409,-0.268,-0.014,19.00,0.190
2025-12-26 11:41:24,52.419,-0.230,-0.012,19.00,0.190
2025-12-26 11:41:25,52.409,-0.251,-0.013,19.00,0.190
2025-12-26 11:41:26,52.408,-0.273,-0.014,19.00,0.190
2025-12-26 11:41:27,52.409,-0.313,-0.016,19.00,0.190
2025-12-26 11:41:29,52.414,-0.294,-0.016,19.00,0.190
2025-12-26 11:41:30,52.415,-0.246,-0.013,19.00,0.190
2025-12-26 11:41:31,52.410,-0.268,-0.014,19.00,0.190
2025-12-26 11:41:32,52.409,-0.299,-0.016,19.00,0.190
2025-12-26 11:41:33,52.413,-0.281,-0.015,19.00,0.190
2025-12-26 11:41:35,52.402,-0.268,-0.014,19.00,0.190
2025-12-26 11:41:36,52.411,-0.304,-0.016,19.00,0.190
2025-12-26 11:41:37,52.405,-0.253,-0.013,19.00,0.190
2025-12-26 11:41:38,52.400,-0.286,-0.015,19.00,0.190
2025-12-26 11:41:39,52.405,-0.297,-0.016,19.00,0.190
2025-12-26 11:41:40,52.414,-0.262,-0.014,19.00,0.190
2025-12-26 11:41:42,52.406,-0.256,-0.013,19.00,0.190
2025-12-26 11:41:43,52.408,-0.310,-0.014,19.00,0.190
2025-12-26 11:41:44,52.411,-0.244,-0.013,19.00,0.190
2025-12-26 11:41:45,52.405,-0.256,-0.013,19.00,0.190
2025-12-26 11:41:46,52.401,-0.241,-0.013,19.00,0.190
2025-12-26 11:41:47,52.416,-0.261,-0.014,19.00,0.190
2025-12-26 11:41:49,52.409,-0.330,-0.017,19.00,0.190
2025-12-26 11:41:50,52.417,-0.230,-0.012,19.00,0.190
2025-12-26 11:41:51,52.402,-0.256,-0.013,19.00,0.190
2025-12-26 11:41:52,52.408,-0.228,-0.011,19.00,0.190
2025-12-26 11:41:53,52.411,-0.208,-0.011,19.00,0.190
2025-12-26 11:41:54,52.416,-0.226,-0.012,19.00,0.190
2025-12-26 11:41:56,52.401,-0.191,-0.010,19.00,0.190
2025-12-26 11:41:57,52.399,-0.261,-0.014,19.00,0.190
2025-12-26 11:41:58,52.418,-0.188,-0.010,19.00,0.190
2025-12-26 11:41:59,52.407,-0.209,-0.011,19.00,0.190
2025-12-26 11:42:00,52.407,-0.280,-0.015,19.00,0.190
2025-12-26 11:42:01,52.416,-0.241,-0.013,19.00,0.190
2025-12-26 11:42:03,52.414,-0.228,-0.012,19.00,0.190
2025-12-26 11:42:04,52.409,-0.285,-0.015,19.00,0.190
2025-12-26 11:42:05,52.420,-0.290,-0.015,19.00,0.190
2025-12-26 11:42:06,52.408,-0.314,-0.016,19.00,0.190
2025-12-26 11:42:07,52.404,-0.224,-0.012,19.00,0.190
2025-12-26 11:42:08,52.411,-0.259,-0.014,19.00,0.190
2025-12-26 11:42:10,52.414,-0.322,-0.017,19.00,0.190
2025-12-26 11:42:11,52.412,-0.304,-0.016,19.00,0.190
2025-12-26 11:42:12,52.405,-0.299,-0.016,19.00,0.190
2025-12-26 11:42:13,52.404,-0.271,-0.014,19.00,0.190
2025-12-26 11:42:14,52.416,-0.255,-0.014,19.00,0.190
2025-12-26 11:42:15,52.411,-0.280,-0.015,19.00,0.190
2025-12-26 11:42:17,52.408,-0.219,-0.011,19.00,0.190
2025-12-26 11:42:18,52.405,-0.245,-0.013,19.00,0.190
2025-12-26 11:42:19,52.405,-0.224,-0.012,19.00,0.190
2025-12-26 11:42:20,52.426,-0.248,-0.014,19.00,0.190
2025-12-26 11:42:21,52.409,-0.319,-0.017,19.00,0.190
2025-12-26 11:42:22,52.405,-0.310,-0.016,19.00,0.190
2025-12-26 11:42:24,52.417,-0.326,-0.017,19.00,0.190
2025-12-26 11:42:25,52.409,-0.267,-0.014,19.00,0.190
2025-12-26 11:42:26,52.409,-0.304,-0.016,19.00,0.190
2025-12-26 11:42:27,52.414,-0.309,-0.016,19.00,0.190
2025-12-26 11:42:28,52.405,-0.323,-0.017,19.00,0.190
2025-12-26 11:42:29,52.412,-0.257,-0.013,19.00,0.190
2025-12-26 11:42:31,52.412,-0.315,-0.017,19.00,0.190
2025-12-26 11:42:32,52.412,-0.295,-0.015,19.00,0.190
2025-12-26 11:42:33,52.416,-0.295,-0.015,19.00,0.190
2025-12-26 11:42:34,52.412,-0.288,-0.015,19.00,0.190
2025-12-26 11:42:35,52.414,-0.249,-0.013,19.00,0.190
2025-12-26 11:42:36,52.415,-0.230,-0.012,19.00,0.190
2025-12-26 11:42:38,52.407,-0.266,-0.015,19.00,0.190
2025-12-26 11:42:39,52.417,-0.294,-0.015,19.00,0.190
2025-12-26 11:42:40,52.412,-0.249,-0.013,19.00,0.190
2025-12-26 11:42:41,52.412,-0.296,-0.016,19.00,0.190
2025-12-26 11:42:42,52.414,-0.255,-0.013,19.00,0.190
2025-12-26 11:42:43,52.410,-0.221,-0.012,19.00,0.190
2025-12-26 11:42:45,52.413,-0.204,-0.011,19.00,0.190
2025-12-26 11:42:46,52.408,-0.259,-0.014,19.00,0.190
2025-12-26 11:42:47,52.423,-0.236,-0.012,19.00,0.190
2025-12-26 11:42:48,52.409,-0.264,-0.014,19.00,0.190
2025-12-26 11:42:49,52.403,-0.311,-0.016,19.00,0.190
2025-12-26 11:42:50,52.406,-0.284,-0.016,19.00,0.190
2025-12-26 11:42:52,52.417,-0.252,-0.014,19.00,0.190
2025-12-26 11:42:53,52.398,-0.283,-0.015,19.00,0.190
2025-12-26 11:42:54,52.404,-0.312,-0.016,19.00,0.190
2025-12-26 11:42:55,52.417,-0.274,-0.014,19.00,0.190
2025-12-26 11:42:56,52.407,-0.284,-0.015,19.00,0.190
2025-12-26 11:42:57,52.414,-0.255,-0.013,19.00,0.190
2025-12-26 11:42:59,52.404,-0.270,-0.014,19.00,0.190
